Relación entre nivel de actividad física y estrés,  ,Nivel de actividad física,Nivel de ansiedad,Nivel de estrés
Nivel de actividad física,Coeficiente de correlación,1,"-,251*","-,366**"
  ,Sig. (bilateral),   ,0.035,0.002
Nivel de estrés,Coeficiente de correlación,"-0,366**","0,763**",1
      ,Sig. (bilateral),0.002,0,    
